"tablescraper-selected-row","tablescraper-selected-row href"
"Rule 3.8 Reserved","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_3.8_-_Reserved.pdf?ver=SIPVH_vkdp-Jw-7cGS4vaQ%3d%3d"
"Rule 3.9 Advocate in Nonadjudicative Proceedings","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_3.9_-_Advocate_in_Nonadjudicative_Proceedings.pdf?ver=TH9j0mrxug4ULqP4McurpQ%3d%3d"
"TRANSACTIONS WITH PERSONS OTHER THAN CLIENTS",""
"Rule 4.1 Truthfulness in Statements to Others","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_4.1_-_Truthfulness_in_Statements_to_Others.pdf?ver=ejjsVBN6GGWdZJhYx9B_Lw%3d%3d"
"Rule 4.2 Communication with Person Represented by Counsel","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_4.2_-_Communication_with_Person_Represented_by_Counsel.pdf?ver=_Os0ev7FRDL-drGapW9doQ%3d%3d"
"Rule 4.3 Dealing with Unrepresented Person","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_4.3_-_Dealing_with_Unrepresented_Person.pdf?ver=JzBcgybN-42r681BXTbK-w%3d%3d"
"Rule 4.4 Respect for Rights of Third Persons","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_4.4_-_Respect_for_Rights_of_Third_Persons.pdf?ver=CtnMzIJtpWwDnONzDbzrTg%3d%3d"
"Rule 4.5 Threatening Prosecution","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_4.5_-_Threatening_Prosecution.pdf?ver=JjMLU2tsjWd0CNR0fIzAbw%3d%3d"
"RESPONSIBILITIES OF LLPs",""
"Rule 5.1 Responsibilities of a Partner or Supervisory LLP","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_5.1_-_Responsibilities_of_a_Partner_or_Supervisory_LLP.pdf?ver=US7ot043UqJ8AQBf4xmvNg%3d%3d"
"Rule 5.2 Responsibilities of an LLP in a Firm","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_5.2_-_Responsibilities_of_an_LLP_in_a_Firm.pdf?ver=1_6O5IiXOH52aC17Y2Y_Bg%3d%3d"
"Rule 5.3 Responsibilities Regarding Other Personnel in Firms Without Lawyers","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_5.3_-_Responsibilities_Regarding_Other_Personnel_in_Firms_Without_Lawyers.pdf?ver=_v1Hqpu2Bo05OLlLC6j-PQ%3d%3d"
"Rule 5.4 Professional Independence of an LLP","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_5.4_-_Professional_Independence_of_an_LLP.pdf?ver=US7ot043UqJ8AQBf4xmvNg%3d%3d"
"Rule 5.5 Unauthorized Practice of Law; Multijurisdictional Practice of Law","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_5.5_-_Unauthorized_Practice_of_Law_3B_Multijurisdictional_Practice_of_Law.pdf?ver=rE6IL5LWE_sx4b-i4ee0sg%3d%3d"
"Rule 5.6 Restrictions on Right to Practice","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_5.6_-_Restrictions_on_Right_to_Practice.pdf?ver=rE6IL5LWE_sx4b-i4ee0sg%3d%3d"
"Rule 5.7 Responsibilities Regarding Law-Related Services","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_5.7_-_Responsibilities_Regarding_Law-Related_Services.pdf?ver=SIPVH_vkdp-Jw-7cGS4vaQ%3d%3d"
"PUBLIC SERVICE",""
"Rule 6.1 Voluntary Pro Bono Publico Service","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_6.1_-_Voluntary_Pro_Bono_Publico_Service.pdf?ver=JXsx7JMlXjQzmYPQVGwetA%3d%3d"
"Rule 6.2 Accepting Appointments","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_6.2_-_Accepting_Appointments.pdf?ver=_lB6j7UGZHyFPDM-z9aGBw%3d%3d"
"Rule 6.3 Membership in Legal Services Organization","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_6.3_-_Membership_in_Legal_Services_Organization.pdf?ver=SIPVH_vkdp-Jw-7cGS4vaQ%3d%3d"
"Rule 6.4 Law Reform Activities Affecting Client Interests","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_6.4_-_Law_Reform_Activities_Affecting_Client_Interests.pdf?ver=US7ot043UqJ8AQBf4xmvNg%3d%3d"
"Rule 6.5 Nonprofit and Court-Annexed Limited Legal Services Programs","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_6.5_-_Nonprofit_and_Court-Annexed_Limited_Legal_Services_Programs.pdf?ver=TH9j0mrxug4ULqP4McurpQ%3d%3d"
"INFORMATION ABOUT LEGAL SERVICES",""
"Rule 7.1 Communications Concerning an LLP’s Services","https://www.cobar.org/Portals/COBAR/Repository/ethicsOpinions/ethics%20LLP%20page/Rule_7.1_-_Communications_Concerning_an_LLP_27s_Services.pdf?ver=hYMpfltXRI01oBCTEGyOAw%3d%3d"
