"h2","h2 href","d-flex","d-files","cardText 2","cardText 3","cardText 4","cardText 5","cardText 6","cardText 7","cardText 8","cardText 9","cardText 10","cardText 11","cardText 12","cardText 13","cardText 14","cardText 15","judge-link","judge-link href","trellis-loading src","judge-hover-footer","judge-follow-link","cardText 16","cardText 17"
"Helm, Jessica v. Capitol Peak Outfitters Inc et al","https://trellis.law/case/8097/2023cv030052/helm-jessica-v-capitol-peak-outfitters-inc-et-al","On May 29, 2023 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","6 Files","May 29, 2023","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Jun 01, 2023","Practice Area","Torts","Matter Type","Personal Injury","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","",""
"Kristin Dittmar Design Llc vs 603 S Garmisch Llc","https://trellis.law/case/8097/2023cv030008/kristin-dittmar-design-llc-vs-603-s-garmisch-llc","On January 30, 2023 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","13 Files","Jan 30, 2023","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Apr 02, 2023","","","","","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","",""
"Wells, Richard v. Aig Property Casualty Company","https://trellis.law/case/8097/2023cv030099/wells-richard-v-aig-property-casualty-company","On September 18, 2023 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Denise K. Lynch presiding.","3 Files","Sep 18, 2023","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Sep 20, 2023","Practice Area","Commercial","Matter Type","Breach of Contract","Hon. Denise K. Lynch","https://trellis.law/judge/denise.k.lynch?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Denise K. Lynch","",""
"Pauline M Mayer Family Limited Ptship v. Welsh, Ellen et al","https://trellis.law/case/8097/2023cv030145/pauline-m-mayer-family-limited-ptship-v-welsh-ellen-et-al","On December 28, 2023 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","7 Files","Dec 28, 2023","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","Dec 30, 2023","Practice Area","Property","Matter Type","Quiet Title","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","",""
"Michel Bervaldi vs Charity Merrill","https://trellis.law/case/8097/2022cv030018/michel-bervaldi-vs-charity-merrill","On March 9, 2022 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge John F. Neiley presiding.","19 Files","Mar 09, 2022","Status","Dismissal","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","May 26, 2023","","","","","Hon. John F. Neiley","https://trellis.law/judge/john.f.neiley?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for John F. Neiley","County","Pitkin County, CO"
"Sopris Steel LLC v. Silich Construction Inc","https://trellis.law/case/8097/2022cv030038/sopris-steel-llc-v-silich-construction-inc","On May 9, 2022 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge John F. Neiley presiding.","34 Files","May 09, 2022","Status","Dismissal","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","May 25, 2023","Practice Area","Creditor","Matter Type","Consumer Debt","Hon. John F. Neiley","https://trellis.law/judge/john.f.neiley?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for John F. Neiley","County","Pitkin County, CO"
"Jobes, John Lewis et al v. Merino Labelle, Carlos","https://trellis.law/case/8097/2022cv030106/jobes-john-lewis-et-al-v-merino-labelle-carlos","On November 15, 2022 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Denise K. Lynch presiding.","16 Files","Nov 15, 2022","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","May 25, 2023","Practice Area","Torts","Matter Type","Automobile","Hon. Denise K. Lynch","https://trellis.law/judge/denise.k.lynch?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Denise K. Lynch","",""
"Kith And Kin Llc vs B And H General Contractors Inc et al","https://trellis.law/case/8097/2022cv030006/kith-kin-llc-vs-b-h-general-contractors-inc-et-al","On January 19, 2022 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Denise K. Lynch presiding.","84 Files","Jan 19, 2022","Judge","","Court","Pitkin County","County","Pitkin County, CO","Case #","Case Last Refreshed","May 25, 2023","","","","","Hon. Denise K. Lynch","https://trellis.law/judge/denise.k.lynch?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Denise K. Lynch","",""
"42400 Highway 82 Acquisition Llc vs Tiel Trust I Fbo Paula T Douglass","https://trellis.law/case/8097/2022cv030091/42400-highway-82-acquisition-llc-vs-tiel-trust-i-fbo-paula-t-douglass","On September 27, 2022 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Anne K. Norrdin presiding.","18 Files","Sep 27, 2022","Status","Consolidation","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","May 26, 2023","","","","","Hon. Anne K. Norrdin","https://trellis.law/judge/anne.k.norrdin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Anne K. Norrdin","County","Pitkin County, CO"
"Kdr Trust v. City Of Aspen","https://trellis.law/case/8097/2022cv030056/kdr-trust-v-city-aspen","On June 13, 2022 a case was filed
        
        
        
        
            
            in the jurisdiction of Pitkin County.
        
        
            
                Judge Christopher G. Seldin presiding.","29 Files","Jun 13, 2022","Status","Appealed","Judge","","Court","Pitkin County","Case #","Case Last Refreshed","May 26, 2023","","","","","Hon. Christopher G. Seldin","https://trellis.law/judge/christopher.g.seldin?at_a_glance=True","https://static-web-assets.vuean5bcdnek.trellis.law/static-assets/v2026-06-11T23-33-27Z-master-12ba455/global/loader-4-css.svg","👉 Discover key insights by exploring","more analytics for Christopher G. Seldin","County","Pitkin County, CO"
